"beta_prior","adj_prior","pred_prob"
"normal(0, 1)","normal(0, 10)",0.625
"normal(0, 1.5)","normal(0, 3)",0.395833333333333
"normal(0, 1.5)","normal(0, 5)",0.333333333333333
"normal(0, 1.5)","normal(0, 10)",0.708333333333333
"normal(0, 2)","normal(0, 3)",0.4375
"normal(0, 2)","normal(0, 5)",0.5625
"normal(0, 2)","normal(0, 10)",0.770833333333333
"normal(0, 1)","normal(0, 3)",0.6875
"normal(0, 1)","normal(0, 5)",0.395833333333333
"normal(0, 1)","normal(0, 10)",0.666666666666667
"normal(0, 1.5)","normal(0, 3)",0.833333333333333
"normal(0, 1.5)","normal(0, 5)",0.770833333333333
"normal(0, 1.5)","normal(0, 10)",0.166666666666667
"normal(0, 2)","normal(0, 3)",0.708333333333333
"normal(0, 2)","normal(0, 5)",0.625
"normal(0, 2)","normal(0, 10)",0.354166666666667
"normal(0, 1)","normal(0, 3)",0.8125
"normal(0, 1)","normal(0, 5)",0.1875
"normal(0, 1)","normal(0, 10)",0.354166666666667
"normal(0, 1.5)","normal(0, 3)",0.125
"normal(0, 1.5)","normal(0, 5)",0.125
"normal(0, 1.5)","normal(0, 10)",0.1875
"normal(0, 2)","normal(0, 3)",0.625
"normal(0, 2)","normal(0, 5)",0.333333333333333
"normal(0, 2)","normal(0, 10)",0.770833333333333
"normal(0, 1)","normal(0, 3)",0.229166666666667
"normal(0, 1)","normal(0, 5)",0.166666666666667
"normal(0, 1)","normal(0, 10)",0.375
"normal(0, 1.5)","normal(0, 3)",0.625
"normal(0, 1.5)","normal(0, 5)",0.458333333333333
"normal(0, 1.5)","normal(0, 10)",0.166666666666667
"normal(0, 2)","normal(0, 3)",0.395833333333333
"normal(0, 2)","normal(0, 5)",0.458333333333333
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.4375
"normal(0, 1)","normal(0, 5)",0.5
"normal(0, 1)","normal(0, 10)",0.0625
"normal(0, 1.5)","normal(0, 3)",0.625
"normal(0, 1.5)","normal(0, 5)",0.708333333333333
"normal(0, 1.5)","normal(0, 10)",0.1875
"normal(0, 2)","normal(0, 3)",0.291666666666667
"normal(0, 2)","normal(0, 5)",0.833333333333333
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.4375
"normal(0, 1)","normal(0, 5)",0.583333333333333
"normal(0, 1)","normal(0, 10)",0.5
"normal(0, 1.5)","normal(0, 3)",0.395833333333333
"normal(0, 1.5)","normal(0, 5)",0.5
"normal(0, 1.5)","normal(0, 10)",0.0416666666666667
"normal(0, 2)","normal(0, 3)",0.125
"normal(0, 2)","normal(0, 5)",0.375
"normal(0, 2)","normal(0, 10)",0.4375
"normal(0, 1)","normal(0, 3)",0.583333333333333
"normal(0, 1)","normal(0, 5)",0.708333333333333
"normal(0, 1)","normal(0, 10)",0.333333333333333
"normal(0, 1.5)","normal(0, 3)",0.5
"normal(0, 1.5)","normal(0, 5)",0.270833333333333
"normal(0, 1.5)","normal(0, 10)",0.4375
"normal(0, 2)","normal(0, 3)",0.458333333333333
"normal(0, 2)","normal(0, 5)",0.645833333333333
"normal(0, 2)","normal(0, 10)",0.458333333333333
"normal(0, 1)","normal(0, 3)",0.791666666666667
"normal(0, 1)","normal(0, 5)",0.520833333333333
"normal(0, 1)","normal(0, 10)",0.6875
"normal(0, 1.5)","normal(0, 3)",0.395833333333333
"normal(0, 1.5)","normal(0, 5)",0.5
"normal(0, 1.5)","normal(0, 10)",0.875
"normal(0, 2)","normal(0, 3)",0.5
"normal(0, 2)","normal(0, 5)",0.416666666666667
"normal(0, 2)","normal(0, 10)",0.645833333333333
"normal(0, 1)","normal(0, 3)",0.479166666666667
"normal(0, 1)","normal(0, 5)",0.5
"normal(0, 1)","normal(0, 10)",0.6875
"normal(0, 1.5)","normal(0, 3)",0.5625
"normal(0, 1.5)","normal(0, 5)",0.625
"normal(0, 1.5)","normal(0, 10)",0.520833333333333
"normal(0, 2)","normal(0, 3)",0.354166666666667
"normal(0, 2)","normal(0, 5)",0.145833333333333
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.3125
"normal(0, 1)","normal(0, 5)",0.3125
"normal(0, 1)","normal(0, 10)",0.333333333333333
"normal(0, 1.5)","normal(0, 3)",0.479166666666667
"normal(0, 1.5)","normal(0, 5)",0.375
"normal(0, 1.5)","normal(0, 10)",0.375
"normal(0, 2)","normal(0, 3)",0.5
"normal(0, 2)","normal(0, 5)",0.854166666666667
"normal(0, 2)","normal(0, 10)",0.25
"normal(0, 1)","normal(0, 3)",0.479166666666667
"normal(0, 1)","normal(0, 5)",0.729166666666667
"normal(0, 1)","normal(0, 10)",0.333333333333333
"normal(0, 1.5)","normal(0, 3)",0.291666666666667
"normal(0, 1.5)","normal(0, 5)",0.270833333333333
"normal(0, 1.5)","normal(0, 10)",0.729166666666667
"normal(0, 2)","normal(0, 3)",0.5
"normal(0, 2)","normal(0, 5)",0.1875
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.729166666666667
"normal(0, 1)","normal(0, 5)",0.5
"normal(0, 1)","normal(0, 10)",0.791666666666667
"normal(0, 1.5)","normal(0, 3)",0.25
"normal(0, 1.5)","normal(0, 5)",0.0208333333333333
"normal(0, 1.5)","normal(0, 10)",0.520833333333333
"normal(0, 2)","normal(0, 3)",0.375
"normal(0, 2)","normal(0, 5)",0.875
"normal(0, 2)","normal(0, 10)",0.375
"normal(0, 1)","normal(0, 3)",0.645833333333333
"normal(0, 1)","normal(0, 5)",0.291666666666667
"normal(0, 1)","normal(0, 10)",0.666666666666667
"normal(0, 1.5)","normal(0, 3)",0.1875
"normal(0, 1.5)","normal(0, 5)",0.4375
"normal(0, 1.5)","normal(0, 10)",0.291666666666667
"normal(0, 2)","normal(0, 3)",0.458333333333333
"normal(0, 2)","normal(0, 5)",0.0625
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.541666666666667
"normal(0, 1)","normal(0, 5)",0.229166666666667
"normal(0, 1)","normal(0, 10)",0.458333333333333
"normal(0, 1.5)","normal(0, 3)",0.666666666666667
"normal(0, 1.5)","normal(0, 5)",0.979166666666667
"normal(0, 1.5)","normal(0, 10)",0.291666666666667
"normal(0, 2)","normal(0, 3)",0.583333333333333
"normal(0, 2)","normal(0, 5)",0.833333333333333
"normal(0, 2)","normal(0, 10)",0.0625
"normal(0, 1)","normal(0, 3)",0.270833333333333
"normal(0, 1)","normal(0, 5)",0.25
"normal(0, 1)","normal(0, 10)",0.666666666666667
"normal(0, 1.5)","normal(0, 3)",0.395833333333333
"normal(0, 1.5)","normal(0, 5)",0.354166666666667
"normal(0, 1.5)","normal(0, 10)",0.6875
"normal(0, 2)","normal(0, 3)",0.75
"normal(0, 2)","normal(0, 5)",0.520833333333333
"normal(0, 2)","normal(0, 10)",1
"normal(0, 1)","normal(0, 3)",0.458333333333333
"normal(0, 1)","normal(0, 5)",0.708333333333333
"normal(0, 1)","normal(0, 10)",0.375
"normal(0, 1.5)","normal(0, 3)",0.833333333333333
"normal(0, 1.5)","normal(0, 5)",0.5
"normal(0, 1.5)","normal(0, 10)",0.8125
"normal(0, 2)","normal(0, 3)",0.8125
"normal(0, 2)","normal(0, 5)",0.645833333333333
"normal(0, 2)","normal(0, 10)",0.583333333333333
"normal(0, 1)","normal(0, 3)",0.833333333333333
"normal(0, 1)","normal(0, 5)",0.3125
"normal(0, 1)","normal(0, 10)",0.708333333333333
"normal(0, 1.5)","normal(0, 3)",0.520833333333333
"normal(0, 1.5)","normal(0, 5)",0.520833333333333
"normal(0, 1.5)","normal(0, 10)",0.666666666666667
"normal(0, 2)","normal(0, 3)",0.145833333333333
"normal(0, 2)","normal(0, 5)",0.5
"normal(0, 2)","normal(0, 10)",0.5625
"normal(0, 1)","normal(0, 3)",0.270833333333333
"normal(0, 1)","normal(0, 5)",0.354166666666667
"normal(0, 1)","normal(0, 10)",0.645833333333333
"normal(0, 1.5)","normal(0, 3)",0.645833333333333
"normal(0, 1.5)","normal(0, 5)",0.458333333333333
"normal(0, 1.5)","normal(0, 10)",0.833333333333333
"normal(0, 2)","normal(0, 3)",0.541666666666667
"normal(0, 2)","normal(0, 5)",0.416666666666667
"normal(0, 2)","normal(0, 10)",0.479166666666667
"normal(0, 1)","normal(0, 3)",0.291666666666667
"normal(0, 1)","normal(0, 5)",0.6875
"normal(0, 1)","normal(0, 10)",0.4375
"normal(0, 1.5)","normal(0, 3)",0.666666666666667
"normal(0, 1.5)","normal(0, 5)",0.520833333333333
"normal(0, 1.5)","normal(0, 10)",0.6875
"normal(0, 2)","normal(0, 3)",0.291666666666667
"normal(0, 2)","normal(0, 5)",0.416666666666667
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.854166666666667
"normal(0, 1)","normal(0, 5)",0.375
"normal(0, 1)","normal(0, 10)",0.5625
"normal(0, 1.5)","normal(0, 3)",0.75
"normal(0, 1.5)","normal(0, 5)",0.354166666666667
"normal(0, 1.5)","normal(0, 10)",0.3125
"normal(0, 2)","normal(0, 3)",0.75
"normal(0, 2)","normal(0, 5)",0.0833333333333333
"normal(0, 2)","normal(0, 10)",0.458333333333333
"normal(0, 1)","normal(0, 3)",0.666666666666667
"normal(0, 1)","normal(0, 5)",0.3125
"normal(0, 1)","normal(0, 10)",0.6875
"normal(0, 1.5)","normal(0, 3)",0.8125
"normal(0, 1.5)","normal(0, 5)",0
"normal(0, 1.5)","normal(0, 10)",0.666666666666667
"normal(0, 2)","normal(0, 3)",0.520833333333333
"normal(0, 2)","normal(0, 5)",0.395833333333333
"normal(0, 2)","normal(0, 10)",0.458333333333333
"normal(0, 1)","normal(0, 3)",0.1875
"normal(0, 1)","normal(0, 5)",0.354166666666667
"normal(0, 1)","normal(0, 10)",0.166666666666667
"normal(0, 1.5)","normal(0, 3)",0.4375
"normal(0, 1.5)","normal(0, 5)",0
"normal(0, 1.5)","normal(0, 10)",0.354166666666667
"normal(0, 2)","normal(0, 3)",0.291666666666667
"normal(0, 2)","normal(0, 5)",0.3125
"normal(0, 2)","normal(0, 10)",0.166666666666667
"normal(0, 1)","normal(0, 3)",0.3125
"normal(0, 1)","normal(0, 5)",0.354166666666667
"normal(0, 1)","normal(0, 10)",0.166666666666667
"normal(0, 1.5)","normal(0, 3)",0.458333333333333
"normal(0, 1.5)","normal(0, 5)",0.25
"normal(0, 1.5)","normal(0, 10)",0.395833333333333
"normal(0, 2)","normal(0, 3)",0.6875
"normal(0, 2)","normal(0, 5)",0.395833333333333
"normal(0, 2)","normal(0, 10)",0.645833333333333
"normal(0, 1)","normal(0, 3)",0.479166666666667
"normal(0, 1)","normal(0, 5)",0.541666666666667
"normal(0, 1)","normal(0, 10)",0.583333333333333
"normal(0, 1.5)","normal(0, 3)",0.604166666666667
"normal(0, 1.5)","normal(0, 5)",0.875
"normal(0, 1.5)","normal(0, 10)",0.583333333333333
"normal(0, 2)","normal(0, 3)",0.6875
"normal(0, 2)","normal(0, 5)",0.979166666666667
"normal(0, 2)","normal(0, 10)",0.229166666666667
"normal(0, 1)","normal(0, 3)",0.479166666666667
"normal(0, 1)","normal(0, 5)",0.708333333333333
"normal(0, 1)","normal(0, 10)",0.104166666666667
"normal(0, 1.5)","normal(0, 3)",0.25
"normal(0, 1.5)","normal(0, 5)",0.3125
"normal(0, 1.5)","normal(0, 10)",0.333333333333333
"normal(0, 2)","normal(0, 3)",0.479166666666667
"normal(0, 2)","normal(0, 5)",0.5625
"normal(0, 2)","normal(0, 10)",0.75
"normal(0, 1)","normal(0, 3)",0.5625
"normal(0, 1)","normal(0, 5)",0.541666666666667
"normal(0, 1)","normal(0, 10)",0.416666666666667
"normal(0, 1.5)","normal(0, 3)",0.4375
"normal(0, 1.5)","normal(0, 5)",0.479166666666667
"normal(0, 1.5)","normal(0, 10)",0.708333333333333
"normal(0, 2)","normal(0, 3)",0.3125
"normal(0, 2)","normal(0, 5)",0.9375
"normal(0, 2)","normal(0, 10)",0.833333333333333
"normal(0, 1)","normal(0, 3)",0.354166666666667
"normal(0, 1)","normal(0, 5)",0.729166666666667
"normal(0, 1)","normal(0, 10)",0.416666666666667
"normal(0, 1.5)","normal(0, 3)",0.604166666666667
"normal(0, 1.5)","normal(0, 5)",0.458333333333333
"normal(0, 1.5)","normal(0, 10)",0.708333333333333
"normal(0, 2)","normal(0, 3)",0.5
"normal(0, 2)","normal(0, 5)",0.0833333333333333
"normal(0, 2)","normal(0, 10)",0.854166666666667
"normal(0, 1)","normal(0, 3)",0.416666666666667
"normal(0, 1)","normal(0, 5)",0.166666666666667
"normal(0, 1)","normal(0, 10)",0.416666666666667
"normal(0, 1.5)","normal(0, 3)",0.5625
"normal(0, 1.5)","normal(0, 5)",0.3125
"normal(0, 1.5)","normal(0, 10)",0.25
"normal(0, 2)","normal(0, 3)",0.333333333333333
"normal(0, 2)","normal(0, 5)",0.833333333333333
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.520833333333333
"normal(0, 1)","normal(0, 5)",0.583333333333333
"normal(0, 1)","normal(0, 10)",0.1875
"normal(0, 1.5)","normal(0, 3)",0.166666666666667
"normal(0, 1.5)","normal(0, 5)",0.416666666666667
"normal(0, 1.5)","normal(0, 10)",0.4375
"normal(0, 2)","normal(0, 3)",0.479166666666667
"normal(0, 2)","normal(0, 5)",0.645833333333333
"normal(0, 2)","normal(0, 10)",0.6875
"normal(0, 1)","normal(0, 3)",0.9375
"normal(0, 1)","normal(0, 5)",0.729166666666667
"normal(0, 1)","normal(0, 10)",0.708333333333333
"normal(0, 1.5)","normal(0, 3)",0.541666666666667
"normal(0, 1.5)","normal(0, 5)",0.729166666666667
"normal(0, 1.5)","normal(0, 10)",0.333333333333333
"normal(0, 2)","normal(0, 3)",0.229166666666667
"normal(0, 2)","normal(0, 5)",0.479166666666667
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.166666666666667
"normal(0, 1)","normal(0, 5)",0.9375
"normal(0, 1)","normal(0, 10)",0.791666666666667
"normal(0, 1.5)","normal(0, 3)",0.645833333333333
"normal(0, 1.5)","normal(0, 5)",0.25
"normal(0, 1.5)","normal(0, 10)",0.479166666666667
"normal(0, 2)","normal(0, 3)",0.645833333333333
"normal(0, 2)","normal(0, 5)",0.125
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.958333333333333
"normal(0, 1)","normal(0, 5)",0.333333333333333
"normal(0, 1)","normal(0, 10)",0.208333333333333
"normal(0, 1.5)","normal(0, 3)",0.416666666666667
"normal(0, 1.5)","normal(0, 5)",0.208333333333333
"normal(0, 1.5)","normal(0, 10)",0.833333333333333
"normal(0, 2)","normal(0, 3)",0.5625
"normal(0, 2)","normal(0, 5)",0.166666666666667
"normal(0, 2)","normal(0, 10)",0.4375
"normal(0, 1)","normal(0, 3)",0.0833333333333333
"normal(0, 1)","normal(0, 5)",0.875
"normal(0, 1)","normal(0, 10)",0.75
"normal(0, 1.5)","normal(0, 3)",0.520833333333333
"normal(0, 1.5)","normal(0, 5)",0.958333333333333
"normal(0, 1.5)","normal(0, 10)",0.541666666666667
"normal(0, 2)","normal(0, 3)",0.270833333333333
"normal(0, 2)","normal(0, 5)",0.458333333333333
"normal(0, 2)","normal(0, 10)",0.375
"normal(0, 1)","normal(0, 3)",0.395833333333333
"normal(0, 1)","normal(0, 5)",0.6875
"normal(0, 1)","normal(0, 10)",0.604166666666667
"normal(0, 1.5)","normal(0, 3)",0.416666666666667
"normal(0, 1.5)","normal(0, 5)",0.958333333333333
"normal(0, 1.5)","normal(0, 10)",0.875
"normal(0, 2)","normal(0, 3)",0.479166666666667
"normal(0, 2)","normal(0, 5)",0.5
"normal(0, 2)","normal(0, 10)",0.729166666666667
"normal(0, 1)","normal(0, 3)",0.5
"normal(0, 1)","normal(0, 5)",0.666666666666667
"normal(0, 1)","normal(0, 10)",0.583333333333333
"normal(0, 1.5)","normal(0, 3)",0.729166666666667
"normal(0, 1.5)","normal(0, 5)",0
"normal(0, 1.5)","normal(0, 10)",0.3125
"normal(0, 2)","normal(0, 3)",0.645833333333333
"normal(0, 2)","normal(0, 5)",0.166666666666667
"normal(0, 2)","normal(0, 10)",0.645833333333333
"normal(0, 1)","normal(0, 3)",0.833333333333333
"normal(0, 1)","normal(0, 5)",0.416666666666667
"normal(0, 1)","normal(0, 10)",0.666666666666667
"normal(0, 1.5)","normal(0, 3)",0.270833333333333
"normal(0, 1.5)","normal(0, 5)",0.166666666666667
"normal(0, 1.5)","normal(0, 10)",0.833333333333333
"normal(0, 2)","normal(0, 3)",0.4375
"normal(0, 2)","normal(0, 5)",0.645833333333333
"normal(0, 2)","normal(0, 10)",0.666666666666667
"normal(0, 1)","normal(0, 3)",0.333333333333333
"normal(0, 1)","normal(0, 5)",0.75
"normal(0, 1)","normal(0, 10)",0.479166666666667
"normal(0, 1.5)","normal(0, 3)",0.9375
"normal(0, 1.5)","normal(0, 5)",0.145833333333333
"normal(0, 1.5)","normal(0, 10)",0.166666666666667
"normal(0, 2)","normal(0, 3)",0.583333333333333
"normal(0, 2)","normal(0, 5)",0.583333333333333
"normal(0, 2)","normal(0, 10)",0.333333333333333
"normal(0, 1)","normal(0, 3)",0.458333333333333
"normal(0, 1)","normal(0, 5)",0.75
"normal(0, 1)","normal(0, 10)",0.229166666666667
"normal(0, 1.5)","normal(0, 3)",1
"normal(0, 1.5)","normal(0, 5)",0.833333333333333
"normal(0, 1.5)","normal(0, 10)",0.333333333333333
"normal(0, 2)","normal(0, 3)",0.5
"normal(0, 2)","normal(0, 5)",0.5
"normal(0, 2)","normal(0, 10)",0.375
"normal(0, 1)","normal(0, 3)",0.5
"normal(0, 1)","normal(0, 5)",0.479166666666667
"normal(0, 1)","normal(0, 10)",0.666666666666667
"normal(0, 1.5)","normal(0, 3)",0.0833333333333333
"normal(0, 1.5)","normal(0, 5)",0.416666666666667
"normal(0, 1.5)","normal(0, 10)",0.958333333333333
"normal(0, 2)","normal(0, 3)",0.5625
"normal(0, 2)","normal(0, 5)",0.458333333333333
"normal(0, 2)","normal(0, 10)",0.729166666666667
"normal(0, 1)","normal(0, 3)",0.166666666666667
"normal(0, 1)","normal(0, 5)",0.8125
"normal(0, 1)","normal(0, 10)",0.666666666666667
"normal(0, 1.5)","normal(0, 3)",0.604166666666667
"normal(0, 1.5)","normal(0, 5)",0.5
"normal(0, 1.5)","normal(0, 10)",0.0833333333333333
"normal(0, 2)","normal(0, 3)",0.625
"normal(0, 2)","normal(0, 5)",0.395833333333333
"normal(0, 2)","normal(0, 10)",0.229166666666667
"normal(0, 1)","normal(0, 3)",0.583333333333333
"normal(0, 1)","normal(0, 5)",0.5
"normal(0, 1)","normal(0, 10)",0.333333333333333
"normal(0, 1.5)","normal(0, 3)",0.395833333333333
"normal(0, 1.5)","normal(0, 5)",0.354166666666667
"normal(0, 1.5)","normal(0, 10)",0.833333333333333
"normal(0, 2)","normal(0, 3)",0.208333333333333
"normal(0, 2)","normal(0, 5)",0.458333333333333
"normal(0, 2)","normal(0, 10)",0.625
"normal(0, 1)","normal(0, 3)",0.666666666666667
"normal(0, 1)","normal(0, 5)",0.708333333333333
"normal(0, 1)","normal(0, 10)",0.645833333333333
"normal(0, 1.5)","normal(0, 3)",0.9375
"normal(0, 1.5)","normal(0, 5)",0.3125
"normal(0, 1.5)","normal(0, 10)",0.604166666666667
"normal(0, 2)","normal(0, 3)",0.1875
"normal(0, 2)","normal(0, 5)",0.5
"normal(0, 2)","normal(0, 10)",0.1875
"normal(0, 1)","normal(0, 3)",0.354166666666667
"normal(0, 1)","normal(0, 5)",0.375
"normal(0, 1)","normal(0, 10)",0.395833333333333
"normal(0, 1.5)","normal(0, 3)",0.166666666666667
"normal(0, 1.5)","normal(0, 5)",0.291666666666667
"normal(0, 1.5)","normal(0, 10)",0.354166666666667
"normal(0, 2)","normal(0, 3)",0.479166666666667
"normal(0, 2)","normal(0, 5)",0.5
"normal(0, 2)","normal(0, 10)",0.6875
"normal(0, 1)","normal(0, 3)",0.354166666666667
"normal(0, 1)","normal(0, 5)",0.520833333333333
"normal(0, 1)","normal(0, 10)",0.604166666666667
"normal(0, 1.5)","normal(0, 3)",0.354166666666667
"normal(0, 1.5)","normal(0, 5)",0.354166666666667
"normal(0, 1.5)","normal(0, 10)",0.0208333333333333
"normal(0, 2)","normal(0, 3)",0.583333333333333
"normal(0, 2)","normal(0, 5)",0.6875
"normal(0, 2)","normal(0, 10)",0.5
"normal(0, 1)","normal(0, 3)",0.395833333333333
"normal(0, 1)","normal(0, 5)",0.666666666666667
"normal(0, 1)","normal(0, 10)",0.8125
"normal(0, 1.5)","normal(0, 3)",0.625
"normal(0, 1.5)","normal(0, 5)",0.583333333333333
"normal(0, 1.5)","normal(0, 10)",0.75
"normal(0, 2)","normal(0, 3)",0.125
"normal(0, 2)","normal(0, 5)",0.729166666666667
"normal(0, 2)","normal(0, 10)",0.5625
"normal(0, 1)","normal(0, 3)",0.916666666666667
"normal(0, 1)","normal(0, 5)",0.333333333333333
"normal(0, 1)","normal(0, 10)",0.541666666666667
"normal(0, 1.5)","normal(0, 3)",0.854166666666667
"normal(0, 1.5)","normal(0, 5)",0.1875
"normal(0, 1.5)","normal(0, 10)",0.4375
"normal(0, 2)","normal(0, 3)",0.645833333333333
"normal(0, 2)","normal(0, 5)",0.208333333333333
"normal(0, 2)","normal(0, 10)",0.354166666666667
"normal(0, 1)","normal(0, 3)",0.270833333333333
"normal(0, 1)","normal(0, 5)",0.375
"normal(0, 1)","normal(0, 10)",0.666666666666667
"normal(0, 1.5)","normal(0, 3)",0.729166666666667
"normal(0, 1.5)","normal(0, 5)",0.833333333333333
"normal(0, 1.5)","normal(0, 10)",0.604166666666667
"normal(0, 2)","normal(0, 3)",0.5625
"normal(0, 2)","normal(0, 5)",0.104166666666667
"normal(0, 2)","normal(0, 10)",0.479166666666667
"normal(0, 1)","normal(0, 3)",0.291666666666667
"normal(0, 1)","normal(0, 5)",0.875
"normal(0, 1)","normal(0, 10)",0.3125
"normal(0, 1.5)","normal(0, 3)",0.729166666666667
"normal(0, 1.5)","normal(0, 5)",0.479166666666667
"normal(0, 1.5)","normal(0, 10)",0.645833333333333
"normal(0, 2)","normal(0, 3)",0.479166666666667
"normal(0, 2)","normal(0, 5)",0.1875
"normal(0, 2)","normal(0, 10)",0.375
"normal(0, 1)","normal(0, 3)",0.333333333333333
"normal(0, 1)","normal(0, 5)",0.8125
"normal(0, 1)","normal(0, 10)",0.729166666666667
"normal(0, 1.5)","normal(0, 3)",0.854166666666667
"normal(0, 1.5)","normal(0, 5)",0.5
"normal(0, 1.5)","normal(0, 10)",0.958333333333333
"normal(0, 2)","normal(0, 3)",0.375
"normal(0, 2)","normal(0, 5)",0.541666666666667
"normal(0, 2)","normal(0, 10)",0.166666666666667
"normal(0, 1)","normal(0, 3)",0.895833333333333
"normal(0, 1)","normal(0, 5)",0.854166666666667
"normal(0, 1)","normal(0, 10)",0.541666666666667
"normal(0, 1.5)","normal(0, 3)",0.729166666666667
"normal(0, 1.5)","normal(0, 5)",0.979166666666667
"normal(0, 1.5)","normal(0, 10)",0.625
"normal(0, 2)","normal(0, 3)",0.708333333333333
"normal(0, 2)","normal(0, 5)",0.416666666666667
"normal(0, 2)","normal(0, 10)",0.375
"normal(0, 1)","normal(0, 3)",0.8125
"normal(0, 1)","normal(0, 5)",0.3125
"normal(0, 1)","normal(0, 10)",0.854166666666667
"normal(0, 1.5)","normal(0, 3)",0.4375
"normal(0, 1.5)","normal(0, 5)",0.583333333333333
"normal(0, 1.5)","normal(0, 10)",0.604166666666667
"normal(0, 2)","normal(0, 3)",0.208333333333333
"normal(0, 2)","normal(0, 5)",0.604166666666667
"normal(0, 2)","normal(0, 10)",0.458333333333333
"normal(0, 1)","normal(0, 3)",0.395833333333333
"normal(0, 1)","normal(0, 5)",0.958333333333333
"normal(0, 1)","normal(0, 10)",0.979166666666667
"normal(0, 1.5)","normal(0, 3)",0.5
"normal(0, 1.5)","normal(0, 5)",0.4375
"normal(0, 1.5)","normal(0, 10)",0.5
"normal(0, 2)","normal(0, 3)",0.375
"normal(0, 2)","normal(0, 5)",0.875
"normal(0, 2)","normal(0, 10)",0.541666666666667
"normal(0, 1)","normal(0, 3)",0.520833333333333
"normal(0, 1)","normal(0, 5)",0.958333333333333
"normal(0, 1)","normal(0, 10)",0.9375
"normal(0, 1.5)","normal(0, 3)",0.479166666666667
"normal(0, 1.5)","normal(0, 5)",0.375
"normal(0, 1.5)","normal(0, 10)",0.1875
"normal(0, 2)","normal(0, 3)",0.395833333333333
"normal(0, 2)","normal(0, 5)",0.416666666666667
"normal(0, 2)","normal(0, 10)",0.5625
"normal(0, 1)","normal(0, 3)",0.729166666666667
"normal(0, 1)","normal(0, 5)",0.6875
"normal(0, 1)","normal(0, 10)",0.541666666666667
